[2025-04-07 08:40:36] local.WARNING: parseDateToCarbon() - Impossibile parsare la data: [02/04/2025 11:26:42 CEST], errore: Trailing data  
[2025-04-07 08:40:36] local.WARNING: parseDateToCarbon() - Impossibile parsare la data: [02/04/2025 11:27:03 CEST], errore: Trailing data  
[2025-04-07 08:40:36] local.WARNING: parseDateToCarbon() - Impossibile parsare la data: [02/04/2025 11:29:23 CEST], errore: Trailing data  
[2025-04-07 08:40:36] local.WARNING: parseDateToCarbon() - Impossibile parsare la data: [02/04/2025 11:30:06 CEST], errore: Trailing data  
[2025-04-07 08:40:36] local.WARNING: parseDateToCarbon() - Impossibile parsare la data: [02/04/2025 11:33:36 CEST], errore: Trailing data  
[2025-04-07 08:40:36] local.WARNING: parseDateToCarbon() - Impossibile parsare la data: [02/04/2025 11:37:33 CEST], errore: Trailing data  
[2025-04-07 08:40:36] local.WARNING: parseDateToCarbon() - Impossibile parsare la data: [02/04/2025 11:41:10 CEST], errore: Trailing data  
[2025-04-07 08:40:36] local.WARNING: parseDateToCarbon() - Impossibile parsare la data: [02/04/2025 11:44:33 CEST], errore: Trailing data  
[2025-04-07 08:40:36] local.WARNING: parseDateToCarbon() - Impossibile parsare la data: [02/04/2025 11:44:52 CEST], errore: Trailing data  
[2025-04-07 08:40:36] local.WARNING: parseDateToCarbon() - Impossibile parsare la data: [02/04/2025 11:47:39 CEST], errore: Trailing data  
[2025-04-07 08:40:36] local.WARNING: parseDateToCarbon() - Impossibile parsare la data: [02/04/2025 11:52:09 CEST], errore: Trailing data  
[2025-04-07 08:40:36] local.WARNING: parseDateToCarbon() - Impossibile parsare la data: [02/04/2025 11:54:00 CEST], errore: Trailing data  
[2025-04-07 08:40:36] local.WARNING: parseDateToCarbon() - Impossibile parsare la data: [02/04/2025 11:56:05 CEST], errore: Trailing data  
[2025-04-07 08:40:36] local.WARNING: parseDateToCarbon() - Impossibile parsare la data: [02/04/2025 11:57:55 CEST], errore: Trailing data  
[2025-04-07 08:40:36] local.WARNING: parseDateToCarbon() - Impossibile parsare la data: [02/04/2025 12:02:14 CEST], errore: Trailing data  
[2025-04-07 08:40:36] local.WARNING: parseDateToCarbon() - Impossibile parsare la data: [02/04/2025 12:02:28 CEST], errore: Trailing data  
[2025-04-07 08:40:36] local.WARNING: parseDateToCarbon() - Impossibile parsare la data: [02/04/2025 12:03:24 CEST], errore: Trailing data  
[2025-04-07 08:40:36] local.WARNING: parseDateToCarbon() - Impossibile parsare la data: [02/04/2025 12:03:35 CEST], errore: Trailing data  
[2025-04-07 08:40:36] local.WARNING: parseDateToCarbon() - Impossibile parsare la data: [02/04/2025 12:04:50 CEST], errore: Trailing data  
[2025-04-07 08:40:36] local.WARNING: parseDateToCarbon() - Impossibile parsare la data: [02/04/2025 12:06:05 CEST], errore: Trailing data  
[2025-04-07 08:40:36] local.WARNING: parseDateToCarbon() - Impossibile parsare la data: [02/04/2025 12:06:18 CEST], errore: Trailing data  
[2025-04-07 08:40:36] local.WARNING: parseDateToCarbon() - Impossibile parsare la data: [02/04/2025 12:07:36 CEST], errore: Trailing data  
[2025-04-07 08:40:36] local.WARNING: parseDateToCarbon() - Impossibile parsare la data: [02/04/2025 12:08:17 CEST], errore: Trailing data  
[2025-04-07 08:40:36] local.WARNING: parseDateToCarbon() - Impossibile parsare la data: [02/04/2025 12:08:46 CEST], errore: Trailing data  
[2025-04-07 08:40:36] local.WARNING: parseDateToCarbon() - Impossibile parsare la data: [02/04/2025 12:10:49 CEST], errore: Trailing data  
[2025-04-07 08:40:36] local.WARNING: parseDateToCarbon() - Impossibile parsare la data: [02/04/2025 12:11:37 CEST], errore: Trailing data  
[2025-04-07 08:40:36] local.WARNING: parseDateToCarbon() - Impossibile parsare la data: [02/04/2025 12:13:39 CEST], errore: Trailing data  
[2025-04-07 08:40:36] local.WARNING: parseDateToCarbon() - Impossibile parsare la data: [02/04/2025 12:17:23 CEST], errore: Trailing data  
[2025-04-07 08:40:36] local.WARNING: parseDateToCarbon() - Impossibile parsare la data: [02/04/2025 12:23:39 CEST], errore: Trailing data  
[2025-04-07 08:40:36] local.WARNING: parseDateToCarbon() - Impossibile parsare la data: [02/04/2025 12:29:10 CEST], errore: Trailing data  
[2025-04-07 08:40:36] local.WARNING: parseDateToCarbon() - Impossibile parsare la data: [02/04/2025 12:32:30 CEST], errore: Trailing data  
[2025-04-07 08:40:36] local.WARNING: parseDateToCarbon() - Impossibile parsare la data: [02/04/2025 12:33:22 CEST], errore: Trailing data  
[2025-04-07 08:40:36] local.WARNING: parseDateToCarbon() - Impossibile parsare la data: [02/04/2025 12:33:45 CEST], errore: Trailing data  
[2025-04-07 08:40:36] local.WARNING: parseDateToCarbon() - Impossibile parsare la data: [02/04/2025 12:34:51 CEST], errore: Trailing data  
[2025-04-07 08:40:36] local.WARNING: parseDateToCarbon() - Impossibile parsare la data: [02/04/2025 12:36:42 CEST], errore: Trailing data  
[2025-04-07 08:40:36] local.WARNING: parseDateToCarbon() - Impossibile parsare la data: [02/04/2025 12:40:30 CEST], errore: Trailing data  
[2025-04-07 08:40:36] local.WARNING: parseDateToCarbon() - Impossibile parsare la data: [02/04/2025 12:42:06 CEST], errore: Trailing data  
[2025-04-07 08:40:36] local.WARNING: parseDateToCarbon() - Impossibile parsare la data: [02/04/2025 12:43:04 CEST], errore: Trailing data  
[2025-04-07 08:40:36] local.WARNING: parseDateToCarbon() - Impossibile parsare la data: [02/04/2025 12:43:40 CEST], errore: Trailing data  
[2025-04-07 08:40:36] local.WARNING: parseDateToCarbon() - Impossibile parsare la data: [02/04/2025 12:45:06 CEST], errore: Trailing data  
[2025-04-07 08:40:36] local.WARNING: parseDateToCarbon() - Impossibile parsare la data: [02/04/2025 12:47:24 CEST], errore: Trailing data  
[2025-04-07 08:40:36] local.WARNING: parseDateToCarbon() - Impossibile parsare la data: [02/04/2025 12:47:37 CEST], errore: Trailing data  
[2025-04-07 08:40:36] local.WARNING: parseDateToCarbon() - Impossibile parsare la data: [02/04/2025 12:48:17 CEST], errore: Trailing data  
[2025-04-07 08:40:36] local.WARNING: parseDateToCarbon() - Impossibile parsare la data: [02/04/2025 12:50:40 CEST], errore: Trailing data  
[2025-04-07 08:40:36] local.WARNING: parseDateToCarbon() - Impossibile parsare la data: [02/04/2025 12:51:58 CEST], errore: Trailing data  
[2025-04-07 08:40:36] local.WARNING: parseDateToCarbon() - Impossibile parsare la data: [02/04/2025 12:55:17 CEST], errore: Trailing data  
[2025-04-07 08:40:36] local.WARNING: parseDateToCarbon() - Impossibile parsare la data: [02/04/2025 12:56:43 CEST], errore: Trailing data  
[2025-04-07 08:40:36] local.WARNING: parseDateToCarbon() - Impossibile parsare la data: [02/04/2025 12:57:10 CEST], errore: Trailing data  
